,,,O,,,,,,-1
,,,O,X,,,,,-1
,O,,O,X,,,,,-1
,O,X,O,X,,,,,-1
O,O,X,O,X,,,,,-1
O,O,X,O,X,,X,,,-1
,,,,O,,,,,-1
X,,,,O,,,,,-1
X,,,,O,,O,,,-1
X,X,,,O,,O,,,-1
X,X,,,O,,O,,O,-1
X,X,X,,O,,O,,O,-1
,,,,,,,X,,-1
,O,,,,,,X,,-1
,O,,,,,,X,X,-1
,O,,O,,,,X,X,-1
,O,,O,,,X,X,X,-1
,,,,,,,X,,-1
,,,,O,,,X,,-1
,,,,O,,,X,X,-1
,,,O,O,,,X,X,-1
,,X,O,O,,,X,X,-1
,O,X,O,O,,,X,X,-1
X,O,X,O,O,,,X,X,-1
X,O,X,O,O,,O,X,X,-1
X,O,X,O,O,X,O,X,X,-1
,,,,,,,,O,-1
,,,,X,,,,O,-1
,,,,X,O,,,O,-1
,,X,,X,O,,,O,-1
O,,X,,X,O,,,O,-1
O,,X,,X,O,,X,O,-1
O,,X,,X,O,O,X,O,-1
O,X,X,,X,O,O,X,O,-1
,,,,X,,,,,-1
O,,,,X,,,,,-1
O,,,,X,,X,,,-1
O,,,,X,,X,O,,-1
O,,,X,X,,X,O,,-1
O,O,,X,X,,X,O,,-1
O,O,X,X,X,,X,O,,-1
,X,,,,,,,,-1
,X,,,,O,,,,-1
,X,,X,,O,,,,-1
,X,,X,,O,,O,,-1
,X,,X,,O,,O,X,-1
,X,,X,,O,O,O,X,-1
X,X,,X,,O,O,O,X,-1
X,X,,X,O,O,O,O,X,-1
X,X,X,X,O,O,O,O,X,-1
,,,,O,,,,,1
,,X,,O,,,,,1
,,X,,O,O,,,,1
X,,X,,O,O,,,,1
X,O,X,,O,O,,,,1
X,O,X,,O,O,,,X,1
X,O,X,,O,O,,O,X,1
,,,,,O,,,,-1
X,,,,,O,,,,-1
X,,,O,,O,,,,-1
X,X,,O,,O,,,,-1
X,X,,O,,O,,O,,-1
X,X,X,O,,O,,O,,-1
,,,X,,,,,,-1
,,,X,O,,,,,-1
,,,X,O,,X,,,-1
,,,X,O,,X,O,,-1
X,,,X,O,,X,O,,-1
,,,,,X,,,,1
,,O,,,X,,,,1
,,O,X,,X,,,,1
,O,O,X,,X,,,,1
X,O,O,X,,X,,,,1
X,O,O,X,O,X,,,,1
X,O,O,X,O,X,,,X,1
X,O,O,X,O,X,,O,X,1
,,,,O,,,,,1
,,X,,O,,,,,1
,,X,,O,,,O,,1
,,X,,O,,,O,X,1
,,X,O,O,,,O,X,1
,,X,O,O,,X,O,X,1
,,X,O,O,O,X,O,X,1
,,,,X,,,,,-1
,O,,,X,,,,,-1
,O,,X,X,,,,,-1
,O,,X,X,,,O,,-1
,O,,X,X,X,,O,,-1
,,,,,,X,,,-1
,,,,,,X,O,,-1
,,,,,,X,O,X,-1
,O,,,,,X,O,X,-1
,O,,,,X,X,O,X,-1
O,O,,,,X,X,O,X,-1
O,O,X,,,X,X,O,X,-1
,,,,O,,,,,-1
,,,,O,,,X,,-1
O,,,,O,,,X,,-1
O,,,,O,,,X,X,-1
O,,,,O,O,,X,X,-1
O,,,X,O,O,,X,X,-1
O,,O,X,O,O,,X,X,-1
O,,O,X,O,O,X,X,X,-1
O,,,,,,,,,-1
O,X,,,,,,,,-1
O,X,,,,,,,O,-1
O,X,,,X,,,,O,-1
O,X,O,,X,,,,O,-1
O,X,O,,X,,,X,O,-1
X,,,,,,,,,-1
X,,,,,,,,O,-1
X,X,,,,,,,O,-1
X,X,,,,,O,,O,-1
X,X,,,,X,O,,O,-1
X,X,,,O,X,O,,O,-1
X,X,X,,O,X,O,,O,-1
,,,,,,,,X,1
,,,,,,,O,X,1
,,,,,,X,O,X,1
,,,,O,,X,O,X,1
,,,X,O,,X,O,X,1
O,,,X,O,,X,O,X,1
O,,X,X,O,,X,O,X,1
O,O,X,X,O,,X,O,X,1
,,,,,,,O,,1
,X,,,,,,O,,1
,X,,,,,O,O,,1
,X,,,,,O,O,X,1
,X,O,,,,O,O,X,1
,X,O,,,X,O,O,X,1
,X,O,O,,X,O,O,X,1
,X,O,O,X,X,O,O,X,1
O,X,O,O,X,X,O,O,X,1
O,,,,,,,,,1
O,,,X,,,,,,1
O,,,X,O,,,,,1
O,,,X,O,,,,X,1
O,,O,X,O,,,,X,1
O,X,O,X,O,,,,X,1
O,X,O,X,O,,,O,X,1
O,X,O,X,O,X,,O,X,1
O,X,O,X,O,X,O,O,X,1
X,,,,,,,,,1
X,,,,O,,,,,1
X,X,,,O,,,,,1
X,X,O,,O,,,,,1
X,X,O,,O,X,,,,1
X,X,O,,O,X,,O,,1
X,X,O,X,O,X,,O,,1
X,X,O,X,O,X,O,O,,1
,,X,,,,,,,-1
,,X,,O,,,,,-1
,,X,X,O,,,,,-1
,,X,X,O,,O,,,-1
,,X,X,O,,O,,X,-1
,,X,X,O,O,O,,X,-1
X,,X,X,O,O,O,,X,-1
X,,X,X,O,O,O,O,X,-1
X,X,X,X,O,O,O,O,X,-1
O,,,,,,,,,-1
O,,,,,,X,,,-1
O,,,,,,X,,O,-1
O,,X,,,,X,,O,-1
O,,X,,,,X,O,O,-1
O,,X,,X,,X,O,O,-1
,,,,,,O,,,1
,,,X,,,O,,,1
,,,X,,,O,O,,1
,,X,X,,,O,O,,1
,,X,X,,O,O,O,,1
,X,X,X,,O,O,O,,1
,X,X,X,,O,O,O,O,1
,,,O,,,,,,-1
,X,,O,,,,,,-1
O,X,,O,,,,,,-1
O,X,,O,,,,X,,-1
O,X,,O,O,,,X,,-1
O,X,,O,O,,,X,X,-1
O,X,O,O,O,,,X,X,-1
O,X,O,O,O,,X,X,X,-1
,,,,X,,,,,0.5
,,,,X,,,,O,0.5
,,,,X,,X,,O,0.5
,,,O,X,,X,,O,0.5
,,,O,X,,X,X,O,0.5
,O,,O,X,,X,X,O,0.5
X,O,,O,X,,X,X,O,0.5
X,O,O,O,X,,X,X,O,0.5
X,O,O,O,X,X,X,X,O,0.5
,,,,,,,O,,1
,X,,,,,,O,,1
,X,,,,,O,O,,1
,X,X,,,,O,O,,1
,X,X,O,,,O,O,,1
,X,X,O,,X,O,O,,1
,X,X,O,,X,O,O,O,1
,,,O,,,,,,1
X,,,O,,,,,,1
X,,,O,O,,,,,1
X,,,O,O,,,X,,1
X,,,O,O,,O,X,,1
X,X,,O,O,,O,X,,1
X,X,,O,O,O,O,X,,1
,,,,,,,,X,-1
,,,,,,,O,X,-1
,,,,X,,,O,X,-1
O,,,,X,,,O,X,-1
O,,,,X,X,,O,X,-1
O,,,O,X,X,,O,X,-1
O,,,O,X,X,X,O,X,-1
O,O,,O,X,X,X,O,X,-1
O,O,X,O,X,X,X,O,X,-1
,,,,O,,,,,1
,,,,O,,,X,,1
,O,,,O,,,X,,1
,O,,,O,X,,X,,1
,O,,,O,X,,X,O,1
X,O,,,O,X,,X,O,1
X,O,O,,O,X,,X,O,1
X,O,O,X,O,X,,X,O,1
X,O,O,X,O,X,O,X,O,1
